Instructions,Prompt,Response,text
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",راکشسوں کو حیرت انگیز حد تک پیچیدہ اور مکمل برعکس بطور خطرہ لگتا ہے لیکن اگر آپ غیر یقینی موڈ میں ہیں تو یہ ناقابل تردید تفریح ​​ہے,راکشسوں کو حیرت انگیز حد تک پیچیدہ اور مکمل برعکس بطور خطرہ لگتا ہے، لیکن اگر آپ غیر یقینی موڈ میں ہیں تو یہ ناقابل تردید تفریح ​​ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 راکشسوں کو حیرت انگیز حد تک پیچیدہ اور مکمل برعکس بطور خطرہ لگتا ہے لیکن اگر آپ غیر یقینی موڈ میں ہیں تو یہ ناقابل تردید تفریح ​​ہے [/INST] 
Following is the correct sentence: راکشسوں کو حیرت انگیز حد تک پیچیدہ اور مکمل برعکس بطور خطرہ لگتا ہے، لیکن اگر آپ غیر یقینی موڈ میں ہیں تو یہ ناقابل تردید تفریح ​​ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",میرا خیال ہے کہ یہ نسائی ماہرین میں کوئی پسندیدہ نہیں ہے کیونکہ خواتین کی مجموعی طور پر تصویر کشی کسی حد تک… ام… امتیازی سلوک کی ہے,میرا خیال ہے کہ یہ نسائی ماہرین میں کوئی پسندیدہ نہیں ہے، کیونکہ خواتین کی مجموعی طور پر تصویر کشی کسی حد تک… ام… امتیازی سلوک کی ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 میرا خیال ہے کہ یہ نسائی ماہرین میں کوئی پسندیدہ نہیں ہے کیونکہ خواتین کی مجموعی طور پر تصویر کشی کسی حد تک… ام… امتیازی سلوک کی ہے [/INST] 
Following is the correct sentence: میرا خیال ہے کہ یہ نسائی ماہرین میں کوئی پسندیدہ نہیں ہے، کیونکہ خواتین کی مجموعی طور پر تصویر کشی کسی حد تک… ام… امتیازی سلوک کی ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",انہیں اجازت دی گئی ہے کہ وہ ننگے فرش پر رینگیں اور کیچڑ میں کھیل سکیں لیکن منہ کھولنے سے سختی سے منع کیا گیا ہے,انہیں اجازت دی گئی ہے کہ وہ ننگے فرش پر رینگیں اور کیچڑ میں کھیل سکیں، لیکن منہ کھولنے سے سختی سے منع کیا گیا ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 انہیں اجازت دی گئی ہے کہ وہ ننگے فرش پر رینگیں اور کیچڑ میں کھیل سکیں لیکن منہ کھولنے سے سختی سے منع کیا گیا ہے [/INST] 
Following is the correct sentence: انہیں اجازت دی گئی ہے کہ وہ ننگے فرش پر رینگیں اور کیچڑ میں کھیل سکیں، لیکن منہ کھولنے سے سختی سے منع کیا گیا ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",اگر آپ کی عمر بارہ سال سے زیادہ ہے اور ماں کے تہ خانے میں نہیں رہ رہے ہیں تو شاید آپ کے لئے یہاں کچھ بھی نہیں ہے,اگر آپ کی عمر بارہ سال سے زیادہ ہے اور ماں کے تہ خانے میں نہیں رہ رہے ہیں تو، شاید آپ کے لئے یہاں کچھ بھی نہیں ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 اگر آپ کی عمر بارہ سال سے زیادہ ہے اور ماں کے تہ خانے میں نہیں رہ رہے ہیں تو شاید آپ کے لئے یہاں کچھ بھی نہیں ہے [/INST] 
Following is the correct sentence: اگر آپ کی عمر بارہ سال سے زیادہ ہے اور ماں کے تہ خانے میں نہیں رہ رہے ہیں تو، شاید آپ کے لئے یہاں کچھ بھی نہیں ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",میں کسی کا تصور بھی نہیں کرسکتا یہاں تک کہ جو لوگ اس سے کمائی کرتے ہیں اس کی اوسط سے بھی زیادہ درجہ بندی کرتے ہیں,میں کسی کا تصور بھی نہیں کرسکتا، یہاں تک کہ جو لوگ اس سے کمائی کرتے ہیں، اس کی اوسط سے بھی زیادہ درجہ بندی کرتے ہیں۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 میں کسی کا تصور بھی نہیں کرسکتا یہاں تک کہ جو لوگ اس سے کمائی کرتے ہیں اس کی اوسط سے بھی زیادہ درجہ بندی کرتے ہیں [/INST] 
Following is the correct sentence: میں کسی کا تصور بھی نہیں کرسکتا، یہاں تک کہ جو لوگ اس سے کمائی کرتے ہیں، اس کی اوسط سے بھی زیادہ درجہ بندی کرتے ہیں۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",اور ارے میں در حقیقت تینوں کٹھوں کو پسند کرتا ہوں اور ایڈ ووڈ کو بھی برداشت کرسکتا ہوں میرے خیال میں یہ شو میرے لئے رقم پر ٹھیک تھا,اور، ارے، میں در حقیقت تینوں کٹھوں کو پسند کرتا ہوں اور ایڈ ووڈ کو بھی برداشت کرسکتا ہوں میرے خیال میں یہ شو میرے لئے رقم پر ٹھیک تھا۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 اور ارے میں در حقیقت تینوں کٹھوں کو پسند کرتا ہوں اور ایڈ ووڈ کو بھی برداشت کرسکتا ہوں میرے خیال میں یہ شو میرے لئے رقم پر ٹھیک تھا [/INST] 
Following is the correct sentence: اور، ارے، میں در حقیقت تینوں کٹھوں کو پسند کرتا ہوں اور ایڈ ووڈ کو بھی برداشت کرسکتا ہوں میرے خیال میں یہ شو میرے لئے رقم پر ٹھیک تھا۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",یہ جنگ کے مناظر کے ساتھ بھی جھٹکا دیتا ہے اور یہ بھی ظاہر کرتا ہے کہ ہم کسی بڑے کھیل میں صرف پیاد کیسے ہیں,یہ جنگ کے مناظر کے ساتھ بھی جھٹکا دیتا ہے، اور یہ بھی ظاہر کرتا ہے کہ ہم کسی بڑے کھیل میں صرف پیاد کیسے ہیں۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 یہ جنگ کے مناظر کے ساتھ بھی جھٹکا دیتا ہے اور یہ بھی ظاہر کرتا ہے کہ ہم کسی بڑے کھیل میں صرف پیاد کیسے ہیں [/INST] 
Following is the correct sentence: یہ جنگ کے مناظر کے ساتھ بھی جھٹکا دیتا ہے، اور یہ بھی ظاہر کرتا ہے کہ ہم کسی بڑے کھیل میں صرف پیاد کیسے ہیں۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",اس سے پتہ چلتا ہے کہ ہم جمہوری معاشرے میں ہمیں کیا حاصل ہے اور صرف اتنا خوش قسمت ہیں کہ ہم تجربہ نہ کریں,اس سے پتہ چلتا ہے کہ ہم، جمہوری معاشرے میں، ہمیں کیا حاصل ہے، اور صرف اتنا خوش قسمت ہیں کہ ہم تجربہ نہ کریں۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 اس سے پتہ چلتا ہے کہ ہم جمہوری معاشرے میں ہمیں کیا حاصل ہے اور صرف اتنا خوش قسمت ہیں کہ ہم تجربہ نہ کریں [/INST] 
Following is the correct sentence: اس سے پتہ چلتا ہے کہ ہم، جمہوری معاشرے میں، ہمیں کیا حاصل ہے، اور صرف اتنا خوش قسمت ہیں کہ ہم تجربہ نہ کریں۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",فلم میں اداکاری بہت عمدہ ہے کبھی کبھی آپ کو اپنے آپ کو یاد دلانا پڑتا ہے کہ فلم ایک ڈرامائ نگاہ ہے اور حقیقی زندگی نہیں,فلم میں اداکاری بہت عمدہ ہے، کبھی کبھی آپ کو اپنے آپ کو یاد دلانا پڑتا ہے کہ فلم ایک ڈرامائ نگاہ ہے، اور حقیقی زندگی نہیں۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 فلم میں اداکاری بہت عمدہ ہے کبھی کبھی آپ کو اپنے آپ کو یاد دلانا پڑتا ہے کہ فلم ایک ڈرامائ نگاہ ہے اور حقیقی زندگی نہیں [/INST] 
Following is the correct sentence: فلم میں اداکاری بہت عمدہ ہے، کبھی کبھی آپ کو اپنے آپ کو یاد دلانا پڑتا ہے کہ فلم ایک ڈرامائ نگاہ ہے، اور حقیقی زندگی نہیں۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",یہ فلم دیکھنے والے کی آنکھیں کھولنے کی کوشش کرتی ہے اور میں کہوں گا کہ انہوں نے اس مقصد میں کامیابی حاصل کی ہے,یہ فلم دیکھنے والے کی آنکھیں کھولنے کی کوشش کرتی ہے، اور میں کہوں گا کہ انہوں نے اس مقصد میں کامیابی حاصل کی ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 یہ فلم دیکھنے والے کی آنکھیں کھولنے کی کوشش کرتی ہے اور میں کہوں گا کہ انہوں نے اس مقصد میں کامیابی حاصل کی ہے [/INST] 
Following is the correct sentence: یہ فلم دیکھنے والے کی آنکھیں کھولنے کی کوشش کرتی ہے، اور میں کہوں گا کہ انہوں نے اس مقصد میں کامیابی حاصل کی ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",وہ مختلف دیگر جماعتوں کے ذریعہ اس کی جستجو میں خود کی مدد اور رکاوٹ بنتی ہے جن میں سے کوئی بھی واقعی قابل اعتبار نہیں ہے,وہ مختلف دیگر جماعتوں کے ذریعہ اس کی جستجو میں خود کی مدد اور رکاوٹ بنتی ہے، جن میں سے کوئی بھی واقعی قابل اعتبار نہیں ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 وہ مختلف دیگر جماعتوں کے ذریعہ اس کی جستجو میں خود کی مدد اور رکاوٹ بنتی ہے جن میں سے کوئی بھی واقعی قابل اعتبار نہیں ہے [/INST] 
Following is the correct sentence: وہ مختلف دیگر جماعتوں کے ذریعہ اس کی جستجو میں خود کی مدد اور رکاوٹ بنتی ہے، جن میں سے کوئی بھی واقعی قابل اعتبار نہیں ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",کوئی بھی گونگے کی سطح پر فلم سے لطف اندوز ہونے کی کوشش نہیں کرسکتا لیکن تفریحی ایکشن کرایے کی وجہ سے ہے کیوں کہ یہ پیکنگ انتہائی سست ہے,کوئی بھی گونگے کی سطح پر فلم سے لطف اندوز ہونے کی کوشش نہیں کرسکتا لیکن تفریحی ایکشن کرایے کی وجہ سے ہے، کیوں کہ یہ پیکنگ انتہائی سست ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 کوئی بھی گونگے کی سطح پر فلم سے لطف اندوز ہونے کی کوشش نہیں کرسکتا لیکن تفریحی ایکشن کرایے کی وجہ سے ہے کیوں کہ یہ پیکنگ انتہائی سست ہے [/INST] 
Following is the correct sentence: کوئی بھی گونگے کی سطح پر فلم سے لطف اندوز ہونے کی کوشش نہیں کرسکتا لیکن تفریحی ایکشن کرایے کی وجہ سے ہے، کیوں کہ یہ پیکنگ انتہائی سست ہے۔ </s>"
"Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. ""،"" ""۔"" These are the punctuations that need to be added",اگرچہ فلموں کا یہ گروپ ان کے 1914 ہم منصبوں سے زیادہ دیکھنے کے قابل ہے لیکن یہ اوسط سے قدرے کم دکھائی دیتا ہے,اگرچہ فلموں کا یہ گروپ ان کے 1914 ہم منصبوں سے زیادہ دیکھنے کے قابل ہے، لیکن یہ اوسط سے قدرے کم دکھائی دیتا ہے۔,"<s>[INST] <<SYS>>Add appropriate punctuations and sentence boundaries to the following Urdu text in input. Don't include any kind of html tags and don't truncate the output. Provide the actual input that has been asked. '،' '۔' These are the punctuations that need to be added<</SYS>>
 اگرچہ فلموں کا یہ گروپ ان کے 1914 ہم منصبوں سے زیادہ دیکھنے کے قابل ہے لیکن یہ اوسط سے قدرے کم دکھائی دیتا ہے [/INST] 
Following is the correct sentence: اگرچہ فلموں کا یہ گروپ ان کے 1914 ہم منصبوں سے زیادہ دیکھنے کے قابل ہے، لیکن یہ اوسط سے قدرے کم دکھائی دیتا ہے۔ </s>"
